,fileNameAsDelivered,scientificName,MCQ_Prompt
0,Black_Footed_Albatross_0046_18.jpg,Phoebastria nigripes,"What is scientific name of Bird in the image?

Options: A)Ceryle rudis, B)Phoebastria nigripes, C)Mniotilta varia, D)Bombycilla garrulus.

Write the answer after writing ""The answer is:"""
1,Black_Footed_Albatross_0009_34.jpg,Phoebastria nigripes,"What is scientific name of Bird in the image?

Options: A)Phoebastria nigripes, B)Ailuroedus maculosus, C)Sturnella neglecta, D)Anthus rubescens.

Write the answer after writing ""The answer is:"""
2,Black_Footed_Albatross_0002_55.jpg,Phoebastria nigripes,"What is scientific name of Bird in the image?

Options: A)Phoebastria nigripes, B)Empidonax virescens, C)Carduelis carduelis, D)Thryothorus ludovicianus.

Write the answer after writing ""The answer is:"""
3,Black_Footed_Albatross_0074_59.jpg,Phoebastria nigripes,"What is scientific name of Bird in the image?

Options: A)Cyanocorax yncas, B)Megaceryle alcyon, C)Thryothorus ludovicianus, D)Phoebastria nigripes.

Write the answer after writing ""The answer is:"""
4,Black_Footed_Albatross_0014_89.jpg,Phoebastria nigripes,"What is scientific name of Bird in the image?

Options: A)Phoebastria nigripes, B)Sterna forsteri, C)Vermivora cyanoptera, D)Riparia riparia.

Write the answer after writing ""The answer is:"""
5,Black_Footed_Albatross_0085_92.jpg,Phoebastria nigripes,"What is scientific name of Bird in the image?

Options: A)Cardellina canadensis, B)Gavia pacifica, C)Lophodytes cucullatus, D)Phoebastria nigripes.

Write the answer after writing ""The answer is:"""
6,Black_Footed_Albatross_0031_100.jpg,Phoebastria nigripes,"What is scientific name of Bird in the image?

Options: A)Vireo gilvus, B)Nucifraga columbiana, C)Phoebastria nigripes, D)Geothlypis formosa.

Write the answer after writing ""The answer is:"""
7,Black_Footed_Albatross_0051_796103.jpg,Phoebastria nigripes,"What is scientific name of Bird in the image?

Options: A)Piranga olivacea, B)Phoebastria nigripes, C)Icterus cucullatus, D)Certhia americana.

Write the answer after writing ""The answer is:"""
8,Black_Footed_Albatross_0010_796097.jpg,Phoebastria nigripes,"What is scientific name of Bird in the image?

Options: A)Pelecanus occidentalis, B)Phoebastria nigripes, C)Tyrannus dominicensis, D)Tyrannus forficatus.

Write the answer after writing ""The answer is:"""
9,Black_Footed_Albatross_0025_796057.jpg,Phoebastria nigripes,"What is scientific name of Bird in the image?

Options: A)Cyanocitta cristata, B)Vireo griseus, C)Phoebastria nigripes, D)Tyrannus dominicensis.

Write the answer after writing ""The answer is:"""
10,Black_Footed_Albatross_0023_796059.jpg,Phoebastria nigripes,"What is scientific name of Bird in the image?

Options: A)Mareca strepera, B)Vermivora cyanoptera, C)Cardellina pusilla, D)Phoebastria nigripes.

Write the answer after writing ""The answer is:"""
11,Black_Footed_Albatross_0086_796062.jpg,Phoebastria nigripes,"What is scientific name of Bird in the image?

Options: A)Molothrus aeneus, B)Ammospiza nelsoni, C)Passerina amoena, D)Phoebastria nigripes.

Write the answer after writing ""The answer is:"""
12,Black_Footed_Albatross_0049_796063.jpg,Phoebastria nigripes,"What is scientific name of Bird in the image?

Options: A)Dumetella carolinensis, B)Phoebastria nigripes, C)Anthus rubescens, D)Ammospiza nelsoni.

Write the answer after writing ""The answer is:"""
13,Black_Footed_Albatross_0006_796065.jpg,Phoebastria nigripes,"What is scientific name of Bird in the image?

Options: A)Tyrannus melancholicus, B)Icterus spurius, C)Megaceryle alcyon, D)Phoebastria nigripes.

Write the answer after writing ""The answer is:"""
14,Black_Footed_Albatross_0040_796066.jpg,Phoebastria nigripes,"What is scientific name of Bird in the image?

Options: A)Rissa brevirostris, B)Vireo olivaceus, C)Phoebastria nigripes, D)Contopus sordidulus.

Write the answer after writing ""The answer is:"""
15,Black_Footed_Albatross_0016_796067.jpg,Phoebastria nigripes,"What is scientific name of Bird in the image?

Options: A)Icteria virens, B)Coccyzus americanus, C)Aethia cristatella, D)Phoebastria nigripes.

Write the answer after writing ""The answer is:"""
16,Black_Footed_Albatross_0065_796068.jpg,Phoebastria nigripes,"What is scientific name of Bird in the image?

Options: A)Phoebastria nigripes, B)Vermivora cyanoptera, C)Vireo gilvus, D)Setophaga citrina.

Write the answer after writing ""The answer is:"""
17,Black_Footed_Albatross_0089_796069.jpg,Phoebastria nigripes,"What is scientific name of Bird in the image?

Options: A)Chlidonias niger, B)Geothlypis philadelphia, C)Phoebastria nigripes, D)Calypte anna.

Write the answer after writing ""The answer is:"""
18,Black_Footed_Albatross_0042_796071.jpg,Phoebastria nigripes,"What is scientific name of Bird in the image?

Options: A)Phoebetria fusca, B)Zonotrichia querula, C)Phoebastria nigripes, D)Setophaga pensylvanica.

Write the answer after writing ""The answer is:"""
19,Black_Footed_Albatross_0067_170.jpg,Phoebastria nigripes,"What is scientific name of Bird in the image?

Options: A)Phoebastria nigripes, B)Larus argentatus, C)Cardellina pusilla, D)Leiothlypis ruficapilla.

Write the answer after writing ""The answer is:"""
20,Black_Footed_Albatross_0060_796076.jpg,Phoebastria nigripes,"What is scientific name of Bird in the image?

Options: A)Chloroceryle americana, B)Ceryle rudis, C)Phoebastria nigripes, D)Campylorhynchus brunneicapillus.

Write the answer after writing ""The answer is:"""
21,Black_Footed_Albatross_0090_796077.jpg,Phoebastria nigripes,"What is scientific name of Bird in the image?

Options: A)Vermivora cyanoptera, B)Melospiza melodia, C)Phoebastria nigripes, D)Cardellina pusilla.

Write the answer after writing ""The answer is:"""
22,Black_Footed_Albatross_0056_796078.jpg,Phoebastria nigripes,"What is scientific name of Bird in the image?

Options: A)Vireo solitarius, B)Phoebastria nigripes, C)Dryobates pubescens, D)Pagophila eburnea.

Write the answer after writing ""The answer is:"""
23,Black_Footed_Albatross_0061_796082.jpg,Phoebastria nigripes,"What is scientific name of Bird in the image?

Options: A)Phoebastria nigripes, B)Selasphorus rufus, C)Quiscalus major, D)Junco hyemalis.

Write the answer after writing ""The answer is:"""
24,Black_Footed_Albatross_0008_796083.jpg,Phoebastria nigripes,"What is scientific name of Bird in the image?

Options: A)Phoebastria nigripes, B)Carduelis carduelis, C)Lophodytes cucullatus, D)Sterna paradisaea.

Write the answer after writing ""The answer is:"""
