,fileNameAsDelivered,scientificName,MCQ_Prompt
0,Butterfly_imbalanced_train_Heliconius_erato_6309_CAM000241_v.JPG,Heliconius erato,"What is scientific name of Butterfly in the image?

Options: A)Heliconius charithonia, B)Heliconius erato, C)Archaeoprepona demophon, D)Pyrrhogyra cramen.

Write the answer after writing ""The answer is:"""
1,Butterfly_imbalanced_train_Heliconius_erato_40309_CAM041835_v.JPG,Heliconius erato,"What is scientific name of Butterfly in the image?

Options: A)Memphis moruus, B)Heliconius hecale, C)Heliconius erato, D)Heliconius hierax.

Write the answer after writing ""The answer is:"""
2,Butterfly_imbalanced_train_Heliconius_erato_42635_CAM045017_v.JPG,Heliconius erato,"What is scientific name of Butterfly in the image?

Options: A)Heliconius erato, B)Pyrrhogyra otolais, C)Greta annette, D)Heliconius aoede.

Write the answer after writing ""The answer is:"""
3,Butterfly_imbalanced_train_Heliconius_erato_12801_CAM040597_v.JPG,Heliconius erato,"What is scientific name of Butterfly in the image?

Options: A)Heliconius cydno, B)Hypna clytemnestra, C)Batesia hypochlora, D)Heliconius erato.

Write the answer after writing ""The answer is:"""
4,Butterfly_imbalanced_train_Heliconius_erato_4906_CAM017310_d.JPG,Heliconius erato,"What is scientific name of Butterfly in the image?

Options: A)Eunica pusilla, B)Heliconius erato, C)Opsiphanes invirae, D)Heliconius ethilla.

Write the answer after writing ""The answer is:"""
5,Butterfly_imbalanced_train_Heliconius_erato_43743_CAM045295_d.JPG,Heliconius erato,"What is scientific name of Butterfly in the image?

Options: A)Heliconius erato, B)Paititia neglecta, C)Catoblepia soranus, D)Eueides isabella.

Write the answer after writing ""The answer is:"""
6,Butterfly_imbalanced_train_Heliconius_erato_20909_19N1716_v.JPG,Heliconius erato,"What is scientific name of Butterfly in the image?

Options: A)Heliconius clysonymus, B)Heliconius erato, C)Catoblepia soranus, D)Lasaia agesilas.

Write the answer after writing ""The answer is:"""
7,Butterfly_imbalanced_train_Heliconius_erato_21319_19N1962_d.JPG,Heliconius erato,"What is scientific name of Butterfly in the image?

Options: A)Heliconius erato, B)Heliconius timareta, C)Memphis glauce, D)Eueides aliphera.

Write the answer after writing ""The answer is:"""
8,Butterfly_imbalanced_train_Heliconius_erato_12516_CAM040452_d.JPG,Heliconius erato,"What is scientific name of Butterfly in the image?

Options: A)Bia actorion, B)Heliconius wallacei, C)Heliconius elevatus, D)Heliconius erato.

Write the answer after writing ""The answer is:"""
9,Butterfly_imbalanced_train_Heliconius_erato_43483_CAM045230_d.JPG,Heliconius erato,"What is scientific name of Butterfly in the image?

Options: A)Heliconius erato, B)Prepona laertes, C)Tigridia acesta, D)Taygetis thamyra.

Write the answer after writing ""The answer is:"""
10,Butterfly_imbalanced_train_Heliconius_erato_20165_19N1036_v.JPG,Heliconius erato,"What is scientific name of Butterfly in the image?

Options: A)Heliconius cydno, B)Hypothyris ninonia, C)Nessaea obrinus, D)Heliconius erato.

Write the answer after writing ""The answer is:"""
11,Butterfly_imbalanced_train_Heliconius_erato_12769_CAM040581_v.JPG,Heliconius erato,"What is scientific name of Butterfly in the image?

Options: A)Greta annette, B)Catoblepia soranus, C)Greta andromica, D)Heliconius erato.

Write the answer after writing ""The answer is:"""
12,Butterfly_imbalanced_train_Heliconius_erato_20923_19N1726_d.JPG,Heliconius erato,"What is scientific name of Butterfly in the image?

Options: A)Heliconius demeter, B)Heliconius erato, C)Prepona laertes, D)Heliconius heurippa.

Write the answer after writing ""The answer is:"""
13,Butterfly_imbalanced_train_Heliconius_erato_38368_F1063_d.JPG,Heliconius erato,"What is scientific name of Butterfly in the image?

Options: A)Greta annette, B)Ithomia diasia, C)Pyrrhogyra otolais, D)Heliconius erato.

Write the answer after writing ""The answer is:"""
14,Butterfly_imbalanced_train_Heliconius_erato_19799_19N0405_d.JPG,Heliconius erato,"What is scientific name of Butterfly in the image?

Options: A)Prepona laertes, B)Heliconius erato, C)Heliconius numata, D)Eunica pusilla.

Write the answer after writing ""The answer is:"""
15,Butterfly_imbalanced_train_Heliconius_erato_12050_CAM040213_d.JPG,Heliconius erato,"What is scientific name of Butterfly in the image?

Options: A)Heliconius erato, B)Heliconius aoede, C)Heliconius xanthocles, D)Heliconius clysonymus.

Write the answer after writing ""The answer is:"""
16,Butterfly_imbalanced_train_Heliconius_erato_37708_E66_d.JPG,Heliconius erato,"What is scientific name of Butterfly in the image?

Options: A)Heliconius erato, B)Pyrrhogyra cramen, C)Taygetis thamyra, D)Heliconius telesiphe.

Write the answer after writing ""The answer is:"""
17,Butterfly_imbalanced_train_Heliconius_erato_10775_CAM009516_v.JPG,Heliconius erato,"What is scientific name of Butterfly in the image?

Options: A)Heliconius erato, B)Pyrrhogyra otolais, C)Ithomia diasia, D)Heliconius cydno.

Write the answer after writing ""The answer is:"""
18,Butterfly_imbalanced_train_Heliconius_erato_4742_CAM017212_v.JPG,Heliconius erato,"What is scientific name of Butterfly in the image?

Options: A)Memphis moruus, B)Bia actorion, C)Heliconius erato, D)Heliconius hierax.

Write the answer after writing ""The answer is:"""
19,Butterfly_imbalanced_train_Heliconius_erato_3882_CAM016682_d.JPG,Heliconius erato,"What is scientific name of Butterfly in the image?

Options: A)Heliconius demeter, B)Heliconius clysonymus, C)Heliconius erato, D)Heliconius sara.

Write the answer after writing ""The answer is:"""
20,Butterfly_imbalanced_test_Heliconius_erato_43567_CAM045251_d.JPG,Heliconius erato,"What is scientific name of Butterfly in the image?

Options: A)Heliconius erato, B)Rhetus periander, C)Heliconius hecale, D)Tigridia acesta.

Write the answer after writing ""The answer is:"""
21,Butterfly_imbalanced_train_Heliconius_erato_10870_CAM009564_d.JPG,Heliconius erato,"What is scientific name of Butterfly in the image?

Options: A)Heliconius cydno, B)Heliconius numata, C)Heliconius erato, D)Heliconius charithonia.

Write the answer after writing ""The answer is:"""
22,Butterfly_imbalanced_train_Heliconius_erato_43169_CAM045150_v.JPG,Heliconius erato,"What is scientific name of Butterfly in the image?

Options: A)Heliconius erato, B)Eunica pusilla, C)Temenis laothoe, D)Godyris zavaleta.

Write the answer after writing ""The answer is:"""
23,Butterfly_imbalanced_train_Heliconius_erato_42377_CAM036540_v.JPG,Heliconius erato,"What is scientific name of Butterfly in the image?

Options: A)Bia actorion, B)Heliconius xanthocles, C)Temenis laothoe, D)Heliconius erato.

Write the answer after writing ""The answer is:"""
24,Butterfly_imbalanced_train_Heliconius_erato_19230_19N0045_d.JPG,Heliconius erato,"What is scientific name of Butterfly in the image?

Options: A)Heliconius wallacei, B)Heliconius erato, C)Prepona laertes, D)Heliconius clysonymus.

Write the answer after writing ""The answer is:"""
25,Butterfly_imbalanced_train_Heliconius_erato_4832_CAM017260_d.JPG,Heliconius erato,"What is scientific name of Butterfly in the image?

Options: A)Nessaea obrinus, B)Catoblepia soranus, C)Heliconius erato, D)Ithomia diasia.

Write the answer after writing ""The answer is:"""
26,Butterfly_imbalanced_train_Heliconius_erato_20913_19N1717_v.JPG,Heliconius erato,"What is scientific name of Butterfly in the image?

Options: A)Batesia hypochlora, B)Heliconius erato, C)Rhetus periander, D)Tigridia acesta.

Write the answer after writing ""The answer is:"""
27,Butterfly_imbalanced_train_Heliconius_erato_41613_CAM036225_v.JPG,Heliconius erato,"What is scientific name of Butterfly in the image?

Options: A)Taygetis cleopatra, B)Heliconius erato, C)Temenis laothoe, D)Prepona laertes.

Write the answer after writing ""The answer is:"""
28,Butterfly_imbalanced_train_Heliconius_erato_4194_CAM016888_v.JPG,Heliconius erato,"What is scientific name of Butterfly in the image?

Options: A)Heliconius erato, B)Heliconius timareta, C)Archaeoprepona licomedes, D)Temenis laothoe.

Write the answer after writing ""The answer is:"""
29,Butterfly_imbalanced_train_Heliconius_erato_42351_CAM036534_d.JPG,Heliconius erato,"What is scientific name of Butterfly in the image?

Options: A)Temenis laothoe, B)Mechanitis lysimnia, C)Archaeoprepona demophon, D)Heliconius erato.

Write the answer after writing ""The answer is:"""
30,Butterfly_imbalanced_train_Heliconius_erato_4195_CAM016889_d.JPG,Heliconius erato,"What is scientific name of Butterfly in the image?

Options: A)Heliconius clysonymus, B)Heliconius erato, C)Greta nero, D)Greta annette.

Write the answer after writing ""The answer is:"""
31,Butterfly_imbalanced_train_Heliconius_erato_37842_E116_v.JPG,Heliconius erato,"What is scientific name of Butterfly in the image?

Options: A)Hypna clytemnestra, B)Catoblepia soranus, C)Heliconius erato, D)Ithomia diasia.

Write the answer after writing ""The answer is:"""
32,Butterfly_imbalanced_train_Heliconius_erato_8873_CAM008215_d.JPG,Heliconius erato,"What is scientific name of Butterfly in the image?

Options: A)Pyrrhogyra cramen, B)Heliconius erato, C)Temenis laothoe, D)Prepona laertes.

Write the answer after writing ""The answer is:"""
33,Butterfly_imbalanced_train_Heliconius_erato_21901_19N2243_v.JPG,Heliconius erato,"What is scientific name of Butterfly in the image?

Options: A)Ithomia xenos, B)Heliconius erato, C)Bia actorion, D)Ithomia diasia.

Write the answer after writing ""The answer is:"""
34,Butterfly_imbalanced_train_Heliconius_erato_3447_CAM016366_v.JPG,Heliconius erato,"What is scientific name of Butterfly in the image?

Options: A)Heliconius melpomene, B)Zaretis isidora, C)Catoblepia soranus, D)Heliconius erato.

Write the answer after writing ""The answer is:"""
35,Butterfly_imbalanced_train_Heliconius_erato_40147_CAM041795_d.JPG,Heliconius erato,"What is scientific name of Butterfly in the image?

Options: A)Heliconius erato, B)Pyrrhogyra cramen, C)Heliconius elevatus, D)Heliconius demeter.

Write the answer after writing ""The answer is:"""
36,Butterfly_imbalanced_train_Heliconius_erato_12626_CAM040509_d.JPG,Heliconius erato,"What is scientific name of Butterfly in the image?

Options: A)Heliconius erato, B)Heliconius charithonia, C)Heliconius pachinus, D)Nessaea obrinus.

Write the answer after writing ""The answer is:"""
37,Butterfly_imbalanced_train_Heliconius_erato_4309_CAM016969_v.JPG,Heliconius erato,"What is scientific name of Butterfly in the image?

Options: A)Taygetis thamyra, B)Heliconius erato, C)Colobura dirce, D)Pyrrhogyra edocia.

Write the answer after writing ""The answer is:"""
38,Butterfly_imbalanced_train_Heliconius_erato_18876_CAM016446_d.JPG,Heliconius erato,"What is scientific name of Butterfly in the image?

Options: A)Heliconius clysonymus, B)Heliconius erato, C)Ithomia diasia, D)Batesia hypochlora.

Write the answer after writing ""The answer is:"""
39,Butterfly_imbalanced_train_Heliconius_erato_12744_CAM040569_d.JPG,Heliconius erato,"What is scientific name of Butterfly in the image?

Options: A)Heliconius erato, B)Opsiphanes invirae, C)Heliconius charithonia, D)Bia actorion.

Write the answer after writing ""The answer is:"""
40,Butterfly_imbalanced_train_Heliconius_erato_39887_CAM041730_d.JPG,Heliconius erato,"What is scientific name of Butterfly in the image?

Options: A)Heliconius hecale, B)Archaeoprepona licomedes, C)Catoblepia soranus, D)Heliconius erato.

Write the answer after writing ""The answer is:"""
41,Butterfly_imbalanced_train_Heliconius_erato_43153_CAM045146_v.JPG,Heliconius erato,"What is scientific name of Butterfly in the image?

Options: A)Heliconius pachinus, B)Archaeoprepona demophon, C)Heliconius erato, D)Mechanitis lysimnia.

Write the answer after writing ""The answer is:"""
42,Butterfly_imbalanced_train_Heliconius_erato_4163_CAM016873_d.JPG,Heliconius erato,"What is scientific name of Butterfly in the image?

Options: A)Heliconius wallacei, B)Heliconius hierax, C)Heliconius erato, D)Taygetis cleopatra.

Write the answer after writing ""The answer is:"""
43,Butterfly_imbalanced_train_Heliconius_erato_12787_CAM040590_v.JPG,Heliconius erato,"What is scientific name of Butterfly in the image?

Options: A)Temenis laothoe, B)Heliconius erato, C)Prepona laertes, D)Heliconius hecale.

Write the answer after writing ""The answer is:"""
44,Butterfly_imbalanced_train_Heliconius_erato_41061_CS003656_v.JPG,Heliconius erato,"What is scientific name of Butterfly in the image?

Options: A)Taygetis cleopatra, B)Opsiphanes invirae, C)Heliconius erato, D)Hypothyris ninonia.

Write the answer after writing ""The answer is:"""
45,Butterfly_imbalanced_train_Heliconius_erato_21989_19N2265_v.JPG,Heliconius erato,"What is scientific name of Butterfly in the image?

Options: A)Heliconius erato, B)Nessaea obrinus, C)Eunica marsolia, D)Heliconius cydno.

Write the answer after writing ""The answer is:"""
46,Butterfly_imbalanced_train_Heliconius_erato_13595_CAM040978_d.JPG,Heliconius erato,"What is scientific name of Butterfly in the image?

Options: A)Heliconius pachinus, B)Archaeoprepona demophon, C)Heliconius melpomene, D)Heliconius erato.

Write the answer after writing ""The answer is:"""
47,Butterfly_imbalanced_train_Heliconius_erato_4963_CAM017342_v.JPG,Heliconius erato,"What is scientific name of Butterfly in the image?

Options: A)Eueides isabella, B)Heliconius erato, C)Paititia neglecta, D)Lasaia agesilas.

Write the answer after writing ""The answer is:"""
48,Butterfly_imbalanced_train_Heliconius_erato_42595_CAM045008_d.JPG,Heliconius erato,"What is scientific name of Butterfly in the image?

Options: A)Paititia neglecta, B)Tigridia acesta, C)Colobura dirce, D)Heliconius erato.

Write the answer after writing ""The answer is:"""
49,Butterfly_imbalanced_train_Heliconius_erato_39116_CAM041536_d.JPG,Heliconius erato,"What is scientific name of Butterfly in the image?

Options: A)Heliconius erato, B)Godyris zavaleta, C)Heliconius ethilla, D)Taygetis cleopatra.

Write the answer after writing ""The answer is:"""
50,Butterfly_imbalanced_train_Heliconius_erato_21147_19N1874_d.JPG,Heliconius erato,"What is scientific name of Butterfly in the image?

Options: A)Ithomia diasia, B)Heliconius ismenius, C)Heliconius erato, D)Heliconius heurippa.

Write the answer after writing ""The answer is:"""
51,Butterfly_imbalanced_test_Heliconius_erato_12484_CAM040436_d.JPG,Heliconius erato,"What is scientific name of Butterfly in the image?

Options: A)Ithomia diasia, B)Heliconius demeter, C)Temenis laothoe, D)Heliconius erato.

Write the answer after writing ""The answer is:"""
52,Butterfly_imbalanced_train_Heliconius_erato_4696_CAM017188_d.JPG,Heliconius erato,"What is scientific name of Butterfly in the image?

Options: A)Heliconius erato, B)Heliconius demeter, C)Heliconius hecale, D)Bia actorion.

Write the answer after writing ""The answer is:"""
53,Butterfly_imbalanced_train_Heliconius_erato_37806_E95_v.JPG,Heliconius erato,"What is scientific name of Butterfly in the image?

Options: A)Heliconius erato, B)Heliconius heurippa, C)Heliconius doris, D)Heliconius hecale.

Write the answer after writing ""The answer is:"""
54,Butterfly_imbalanced_train_Heliconius_erato_9754_CAM008713_v.JPG,Heliconius erato,"What is scientific name of Butterfly in the image?

Options: A)Tigridia acesta, B)Eueides isabella, C)Heliconius eleuchia, D)Heliconius erato.

Write the answer after writing ""The answer is:"""
55,Butterfly_imbalanced_train_Heliconius_erato_4198_CAM016890_v.JPG,Heliconius erato,"What is scientific name of Butterfly in the image?

Options: A)Heliconius aoede, B)Heliconius erato, C)Greta annette, D)Eunica pusilla.

Write the answer after writing ""The answer is:"""
56,Butterfly_imbalanced_train_Heliconius_erato_4686_CAM017183_d.JPG,Heliconius erato,"What is scientific name of Butterfly in the image?

Options: A)Batesia hypochlora, B)Heliconius erato, C)Heliconius elevatus, D)Heliconius pachinus.

Write the answer after writing ""The answer is:"""
57,Butterfly_imbalanced_train_Heliconius_erato_4623_CAM017149_d.JPG,Heliconius erato,"What is scientific name of Butterfly in the image?

Options: A)Hypna clytemnestra, B)Heliconius hierax, C)Heliconius erato, D)Eunica marsolia.

Write the answer after writing ""The answer is:"""
58,Butterfly_imbalanced_train_Heliconius_erato_4974_CAM017348_d.JPG,Heliconius erato,"What is scientific name of Butterfly in the image?

Options: A)Opsiphanes invirae, B)Nessaea obrinus, C)Heliconius erato, D)Colobura dirce.

Write the answer after writing ""The answer is:"""
59,Butterfly_imbalanced_train_Heliconius_erato_2961_CAM016026_d.JPG,Heliconius erato,"What is scientific name of Butterfly in the image?

Options: A)Heliconius erato, B)Eueides isabella, C)Memphis moruus, D)Hypothyris ninonia.

Write the answer after writing ""The answer is:"""
60,Butterfly_imbalanced_train_Heliconius_erato_13328_CAM040843_v.JPG,Heliconius erato,"What is scientific name of Butterfly in the image?

Options: A)Heliconius demeter, B)Heliconius erato, C)Rhetus periander, D)Heliconius wallacei.

Write the answer after writing ""The answer is:"""
