,fileNameAsDelivered,scientificName,MCQ_Prompt
0,Butterfly_imbalanced_train_Archaeoprepona_demophon_37020_CAM044411_d.JPG,Archaeoprepona demophon,"What is scientific name of Butterfly in the image?

Options: A)Archaeoprepona demophon, B)Pyrrhogyra edocia, C)Memphis moruus, D)Heliconius cydno.

Write the answer after writing ""The answer is:"""
1,Butterfly_imbalanced_train_Archaeoprepona_licomedes_31616_CAM043723_d.JPG,Archaeoprepona licomedes,"What is scientific name of Butterfly in the image?

Options: A)Heliconius timareta, B)Archaeoprepona licomedes, C)Ithomia xenos, D)Eunica pusilla.

Write the answer after writing ""The answer is:"""
2,Butterfly_imbalanced_test_Archaeoprepona_demophon_29368_CAM043064_d.JPG,Archaeoprepona demophon,"What is scientific name of Butterfly in the image?

Options: A)Taygetis cleopatra, B)Archaeoprepona demophon, C)Ithomia salapia, D)Memphis glauce.

Write the answer after writing ""The answer is:"""
3,Butterfly_imbalanced_train_Archaeoprepona_demophon_31932_CAM043804_d.JPG,Archaeoprepona demophon,"What is scientific name of Butterfly in the image?

Options: A)Archaeoprepona demophon, B)Mechanitis lysimnia, C)Memphis moruus, D)Heliconius elevatus.

Write the answer after writing ""The answer is:"""
4,Butterfly_imbalanced_test_Archaeoprepona_demophon_35672_CAM044073_d.JPG,Archaeoprepona demophon,"What is scientific name of Butterfly in the image?

Options: A)Pyrrhogyra edocia, B)Greta annette, C)Mechanitis lysimnia, D)Archaeoprepona demophon.

Write the answer after writing ""The answer is:"""
5,Butterfly_imbalanced_train_Archaeoprepona_demophon_30152_CAM043283_d.JPG,Archaeoprepona demophon,"What is scientific name of Butterfly in the image?

Options: A)Temenis laothoe, B)Taygetis thamyra, C)Mechanitis lysimnia, D)Archaeoprepona demophon.

Write the answer after writing ""The answer is:"""
6,Butterfly_imbalanced_train_Archaeoprepona_demophon_35212_CAM043955_d.JPG,Archaeoprepona demophon,"What is scientific name of Butterfly in the image?

Options: A)Taygetis cleopatra, B)Mechanitis lysimnia, C)Temenis laothoe, D)Archaeoprepona demophon.

Write the answer after writing ""The answer is:"""
7,Butterfly_imbalanced_test_Archaeoprepona_licomedes_30028_CAM043249_d.JPG,Archaeoprepona licomedes,"What is scientific name of Butterfly in the image?

Options: A)Heliconius melpomene, B)Greta andromica, C)Mechanitis lysimnia, D)Archaeoprepona licomedes.

Write the answer after writing ""The answer is:"""
8,Butterfly_imbalanced_train_Archaeoprepona_demophon_30048_CAM043255_d.JPG,Archaeoprepona demophon,"What is scientific name of Butterfly in the image?

Options: A)Eunica marsolia, B)Mechanitis lysimnia, C)Archaeoprepona demophon, D)Heliconius hierax.

Write the answer after writing ""The answer is:"""
9,Butterfly_imbalanced_train_Archaeoprepona_licomedes_29584_CAM043124_d.JPG,Archaeoprepona licomedes,"What is scientific name of Butterfly in the image?

Options: A)Archaeoprepona licomedes, B)Mechanitis lysimnia, C)Eunica marsolia, D)Memphis moruus.

Write the answer after writing ""The answer is:"""
10,Butterfly_imbalanced_train_Archaeoprepona_demophon_31784_CAM043766_d.JPG,Archaeoprepona demophon,"What is scientific name of Butterfly in the image?

Options: A)Archaeoprepona demophon, B)Heliconius elevatus, C)Greta annette, D)Taygetis thamyra.

Write the answer after writing ""The answer is:"""
11,Butterfly_imbalanced_train_Archaeoprepona_demophon_35952_CAM044138_d.JPG,Archaeoprepona demophon,"What is scientific name of Butterfly in the image?

Options: A)Greta annette, B)Pyrrhogyra otolais, C)Archaeoprepona demophon, D)Mechanitis lysimnia.

Write the answer after writing ""The answer is:"""
12,Butterfly_imbalanced_train_Archaeoprepona_licomedes_35176_CAM043944_d.JPG,Archaeoprepona licomedes,"What is scientific name of Butterfly in the image?

Options: A)Temenis laothoe, B)Heliconius hierax, C)Archaeoprepona licomedes, D)Greta annette.

Write the answer after writing ""The answer is:"""
