,fileNameAsDelivered,scientificName,MCQ_Prompt
0,Bay_Breasted_Warbler_0026_159744.jpg,Setophaga castanea,"What is scientific name of Bird in the image?

Options: A)Setophaga ruticilla, B)Setophaga cerulea, C)Setophaga tigrina, D)Setophaga castanea.

Write the answer after writing ""The answer is:"""
1,Bay_Breasted_Warbler_0062_159783.jpg,Setophaga castanea,"What is scientific name of Bird in the image?

Options: A)Setophaga petechia, B)Setophaga castanea, C)Setophaga pensylvanica, D)Setophaga tigrina.

Write the answer after writing ""The answer is:"""
2,Bay_Breasted_Warbler_0016_797134.jpg,Setophaga castanea,"What is scientific name of Bird in the image?

Options: A)Setophaga tigrina, B)Setophaga ruticilla, C)Setophaga petechia, D)Setophaga castanea.

Write the answer after writing ""The answer is:"""
3,Bay_Breasted_Warbler_0081_159963.jpg,Setophaga castanea,"What is scientific name of Bird in the image?

Options: A)Setophaga petechia, B)Setophaga castanea, C)Setophaga discolor, D)Setophaga palmarum.

Write the answer after writing ""The answer is:"""
4,Bay_Breasted_Warbler_0065_159722.jpg,Setophaga castanea,"What is scientific name of Bird in the image?

Options: A)Setophaga palmarum, B)Setophaga tigrina, C)Setophaga castanea, D)Setophaga pensylvanica.

Write the answer after writing ""The answer is:"""
5,Bay_Breasted_Warbler_0011_159736.jpg,Setophaga castanea,"What is scientific name of Bird in the image?

Options: A)Setophaga discolor, B)Setophaga castanea, C)Setophaga ruticilla, D)Setophaga pinus.

Write the answer after writing ""The answer is:"""
6,Bay_Breasted_Warbler_0049_797129.jpg,Setophaga castanea,"What is scientific name of Bird in the image?

Options: A)Setophaga petechia, B)Setophaga tigrina, C)Setophaga pensylvanica, D)Setophaga castanea.

Write the answer after writing ""The answer is:"""
7,Bay_Breasted_Warbler_0053_797157.jpg,Setophaga castanea,"What is scientific name of Bird in the image?

Options: A)Setophaga pensylvanica, B)Setophaga petechia, C)Setophaga castanea, D)Setophaga citrina.

Write the answer after writing ""The answer is:"""
8,Bay_Breasted_Warbler_0060_159863.jpg,Setophaga castanea,"What is scientific name of Bird in the image?

Options: A)Setophaga palmarum, B)Setophaga discolor, C)Setophaga castanea, D)Setophaga pensylvanica.

Write the answer after writing ""The answer is:"""
9,Bay_Breasted_Warbler_0076_159996.jpg,Setophaga castanea,"What is scientific name of Bird in the image?

Options: A)Setophaga discolor, B)Setophaga cerulea, C)Setophaga castanea, D)Setophaga tigrina.

Write the answer after writing ""The answer is:"""
