,fileNameAsDelivered,scientificName,MCQ_Prompt
0,Butterfly_imbalanced_train_Heliconius_clysonymus_38660_CAM041422_d.JPG,Heliconius clysonymus,"What is scientific name of Butterfly in the image?

Options: A)Heliconius clysonymus, B)Heliconius erato, C)Heliconius timareta, D)Heliconius telesiphe.

Write the answer after writing ""The answer is:"""
1,Butterfly_imbalanced_test_Heliconius_clysonymus_39244_CAM041569_d.JPG,Heliconius clysonymus,"What is scientific name of Butterfly in the image?

Options: A)Heliconius sara, B)Heliconius eleuchia, C)Heliconius telesiphe, D)Heliconius clysonymus.

Write the answer after writing ""The answer is:"""
2,Butterfly_imbalanced_test_Heliconius_clysonymus_38844_CAM041468_d.JPG,Heliconius clysonymus,"What is scientific name of Butterfly in the image?

Options: A)Heliconius clysonymus, B)Heliconius timareta, C)Heliconius xanthocles, D)Heliconius numata.

Write the answer after writing ""The answer is:"""
3,Butterfly_imbalanced_train_Heliconius_clysonymus_8544_CAM002995_d.JPG,Heliconius clysonymus,"What is scientific name of Butterfly in the image?

Options: A)Heliconius timareta, B)Heliconius clysonymus, C)Heliconius erato, D)Heliconius melpomene.

Write the answer after writing ""The answer is:"""
4,Butterfly_imbalanced_test_Heliconius_clysonymus_39252_CAM041571_d.JPG,Heliconius clysonymus,"What is scientific name of Butterfly in the image?

Options: A)Heliconius clysonymus, B)Heliconius erato, C)Heliconius xanthocles, D)Heliconius timareta.

Write the answer after writing ""The answer is:"""
5,Butterfly_imbalanced_train_Heliconius_clysonymus_38640_CAM041417_d.JPG,Heliconius clysonymus,"What is scientific name of Butterfly in the image?

Options: A)Heliconius clysonymus, B)Heliconius numata, C)Heliconius xanthocles, D)Heliconius telesiphe.

Write the answer after writing ""The answer is:"""
6,Butterfly_imbalanced_train_Heliconius_clysonymus_12156_CAM040270_d.JPG,Heliconius clysonymus,"What is scientific name of Butterfly in the image?

Options: A)Heliconius numata, B)Heliconius xanthocles, C)Heliconius clysonymus, D)Heliconius melpomene.

Write the answer after writing ""The answer is:"""
7,Butterfly_imbalanced_test_Heliconius_clysonymus_9915_CAM008842_d.JPG,Heliconius clysonymus,"What is scientific name of Butterfly in the image?

Options: A)Heliconius numata, B)Heliconius sara, C)Heliconius clysonymus, D)Heliconius eleuchia.

Write the answer after writing ""The answer is:"""
8,Butterfly_imbalanced_train_Heliconius_clysonymus_38632_CAM041415_d.JPG,Heliconius clysonymus,"What is scientific name of Butterfly in the image?

Options: A)Heliconius erato, B)Heliconius sara, C)Heliconius cydno, D)Heliconius clysonymus.

Write the answer after writing ""The answer is:"""
9,Butterfly_imbalanced_train_Heliconius_clysonymus_38636_CAM041416_d.JPG,Heliconius clysonymus,"What is scientific name of Butterfly in the image?

Options: A)Heliconius telesiphe, B)Heliconius clysonymus, C)Heliconius xanthocles, D)Heliconius cydno.

Write the answer after writing ""The answer is:"""
10,Butterfly_imbalanced_train_Heliconius_clysonymus_12158_CAM040271_d.JPG,Heliconius clysonymus,"What is scientific name of Butterfly in the image?

Options: A)Heliconius cydno, B)Heliconius clysonymus, C)Heliconius telesiphe, D)Heliconius erato.

Write the answer after writing ""The answer is:"""
11,Butterfly_imbalanced_train_Heliconius_clysonymus_8610_CAM008038_d.JPG,Heliconius clysonymus,"What is scientific name of Butterfly in the image?

Options: A)Heliconius melpomene, B)Heliconius erato, C)Heliconius xanthocles, D)Heliconius clysonymus.

Write the answer after writing ""The answer is:"""
12,Butterfly_imbalanced_train_Heliconius_clysonymus_25261_8024d.jpg,Heliconius clysonymus,"What is scientific name of Butterfly in the image?

Options: A)Heliconius melpomene, B)Heliconius sara, C)Heliconius clysonymus, D)Heliconius erato.

Write the answer after writing ""The answer is:"""
13,Butterfly_imbalanced_train_Heliconius_clysonymus_6342_CAM000258_d.JPG,Heliconius clysonymus,"What is scientific name of Butterfly in the image?

Options: A)Heliconius telesiphe, B)Heliconius clysonymus, C)Heliconius xanthocles, D)Heliconius sara.

Write the answer after writing ""The answer is:"""
14,Butterfly_imbalanced_train_Heliconius_clysonymus_39248_CAM041570_d.JPG,Heliconius clysonymus,"What is scientific name of Butterfly in the image?

Options: A)Heliconius melpomene, B)Heliconius clysonymus, C)Heliconius sara, D)Heliconius xanthocles.

Write the answer after writing ""The answer is:"""
15,Butterfly_imbalanced_train_Heliconius_clysonymus_12066_CAM040223_d.JPG,Heliconius clysonymus,"What is scientific name of Butterfly in the image?

Options: A)Heliconius clysonymus, B)Heliconius telesiphe, C)Heliconius xanthocles, D)Heliconius melpomene.

Write the answer after writing ""The answer is:"""
16,Butterfly_imbalanced_train_Heliconius_clysonymus_12110_CAM040247_d.JPG,Heliconius clysonymus,"What is scientific name of Butterfly in the image?

Options: A)Heliconius telesiphe, B)Heliconius clysonymus, C)Heliconius cydno, D)Heliconius timareta.

Write the answer after writing ""The answer is:"""
17,Butterfly_imbalanced_train_Heliconius_clysonymus_38820_CAM041462_d.JPG,Heliconius clysonymus,"What is scientific name of Butterfly in the image?

Options: A)Heliconius clysonymus, B)Heliconius cydno, C)Heliconius melpomene, D)Heliconius telesiphe.

Write the answer after writing ""The answer is:"""
18,Butterfly_imbalanced_test_Heliconius_clysonymus_10391_CAM009211_d.JPG,Heliconius clysonymus,"What is scientific name of Butterfly in the image?

Options: A)Heliconius sara, B)Heliconius xanthocles, C)Heliconius erato, D)Heliconius clysonymus.

Write the answer after writing ""The answer is:"""
19,Butterfly_imbalanced_train_Heliconius_clysonymus_12262_CAM040323_d.JPG,Heliconius clysonymus,"What is scientific name of Butterfly in the image?

Options: A)Heliconius eleuchia, B)Heliconius clysonymus, C)Heliconius sara, D)Heliconius xanthocles.

Write the answer after writing ""The answer is:"""
