,fileNameAsDelivered,scientificName,MCQ_Prompt
0,INHS_FISH_104167.jpg,Notropis atherinoides,"What is scientific name of Fish in the image?

Options: A)Notropis atherinoides, B)Notropis stramineus, C)Notropis buccatus, D)Notropis volucellus.

Write the answer after writing ""The answer is:"""
1,UWZM-F-0001901.JPG,Notropis atherinoides,"What is scientific name of Fish in the image?

Options: A)Notropis atherinoides, B)Notropis hudsonius, C)Notropis buccatus, D)Notropis heterolepis.

Write the answer after writing ""The answer is:"""
2,INHS_FISH_107751.jpg,Notropis atherinoides,"What is scientific name of Fish in the image?

Options: A)Notropis volucellus, B)Notropis heterolepis, C)Notropis atherinoides, D)Notropis heterodon.

Write the answer after writing ""The answer is:"""
3,JFBM-FISH-0024174.jpg,Notropis atherinoides,"What is scientific name of Fish in the image?

Options: A)Notropis hudsonius, B)Notropis atherinoides, C)Notropis heterodon, D)Notropis volucellus.

Write the answer after writing ""The answer is:"""
4,JFBM-FISH-0020542.jpg,Notropis atherinoides,"What is scientific name of Fish in the image?

Options: A)Notropis percobromus, B)Notropis hudsonius, C)Notropis buccatus, D)Notropis atherinoides.

Write the answer after writing ""The answer is:"""
5,JFBM-FISH-0031013.jpg,Notropis atherinoides,"What is scientific name of Fish in the image?

Options: A)Notropis heterodon, B)Notropis hudsonius, C)Notropis atherinoides, D)Notropis heterolepis.

Write the answer after writing ""The answer is:"""
6,INHS_FISH_23957.jpg,Notropis atherinoides,"What is scientific name of Fish in the image?

Options: A)Notropis hudsonius, B)Notropis atherinoides, C)Notropis blennius, D)Notropis buccatus.

Write the answer after writing ""The answer is:"""
7,JFBM-FISH-0040906.jpg,Notropis atherinoides,"What is scientific name of Fish in the image?

Options: A)Notropis blennius, B)Notropis hudsonius, C)Notropis dorsalis, D)Notropis atherinoides.

Write the answer after writing ""The answer is:"""
8,UWZM-F-0001875.JPG,Notropis atherinoides,"What is scientific name of Fish in the image?

Options: A)Notropis percobromus, B)Notropis atherinoides, C)Notropis buccatus, D)Notropis heterolepis.

Write the answer after writing ""The answer is:"""
9,INHS_FISH_86657.jpg,Notropis atherinoides,"What is scientific name of Fish in the image?

Options: A)Notropis heterolepis, B)Notropis heterodon, C)Notropis blennius, D)Notropis atherinoides.

Write the answer after writing ""The answer is:"""
10,INHS_FISH_10330.jpg,Notropis atherinoides,"What is scientific name of Fish in the image?

Options: A)Notropis buccatus, B)Notropis hudsonius, C)Notropis percobromus, D)Notropis atherinoides.

Write the answer after writing ""The answer is:"""
11,INHS_FISH_73791.jpg,Notropis atherinoides,"What is scientific name of Fish in the image?

Options: A)Notropis volucellus, B)Notropis percobromus, C)Notropis hudsonius, D)Notropis atherinoides.

Write the answer after writing ""The answer is:"""
