,fileNameAsDelivered,scientificName,MCQ_Prompt
0,UWZM-F-0001570.JPG,Lepomis macrochirus,"What is scientific name of Fish in the image?

Options: A)Oncorhynchus gorbuscha, B)Lepomis macrochirus, C)Pimephales vigilax, D)Cyprinella callistia.

Write the answer after writing ""The answer is:"""
1,UWZM-F-0001664.JPG,Lepomis megalotis,"What is scientific name of Fish in the image?

Options: A)Herklotsichthys , B)Notropis buccatus, C)Notropis ammophilus, D)Lepomis megalotis.

Write the answer after writing ""The answer is:"""
2,UWZM-F-0001696.JPG,Lepomis microlophus,"What is scientific name of Fish in the image?

Options: A)Callionymus sagitta, B)Lepomis microlophus, C)Micropterus treculii, D)Herklotsichthys dispilonotus.

Write the answer after writing ""The answer is:"""
3,UWZM-F-0001697.JPG,Lepomis punctatus,"What is scientific name of Fish in the image?

Options: A)Enneacanthus chaetodon, B)Notropis hudsonius, C)Lepomis punctatus, D)Cyprinella camura.

Write the answer after writing ""The answer is:"""
4,UWZM-F-0000002.JPG,Alosa aestivalis,"What is scientific name of Fish in the image?

Options: A)Notropis greenei, B)Cyprinella galactura, C)Praealticus striatus, D)Alosa aestivalis.

Write the answer after writing ""The answer is:"""
5,UWZM-F-0000003.JPG,Alosa chrysochloris,"What is scientific name of Fish in the image?

Options: A)Salmo trutta, B)Notropis simus, C)Bathysphyraenops simplex, D)Alosa chrysochloris.

Write the answer after writing ""The answer is:"""
6,UWZM-F-0004382.JPG,Cottus bairdii,"What is scientific name of Fish in the image?

Options: A)Scardinius erythrophthalmus, B)Micropterus dolomieu, C)Noturus flavater, D)Cottus bairdii.

Write the answer after writing ""The answer is:"""
7,UWZM-F-0004463.JPG,Cottus carolinae,"What is scientific name of Fish in the image?

Options: A)Cottus carolinae, B)Notropis amabilis, C)Argentina kagoshimae, D)Chirocentrus dorab.

Write the answer after writing ""The answer is:"""
8,UWZM-F-0004357.JPG,Cottus cognatus,"What is scientific name of Fish in the image?

Options: A)Morone americana, B)Phoxinus cumberlandensis, C)Leiognathus berbis, D)Cottus cognatus.

Write the answer after writing ""The answer is:"""
9,UWZM-F-0004572.JPG,Cottus girardi,"What is scientific name of Fish in the image?

Options: A)Cottus girardi, B)Notropis bifrenatus, C)Micropterus salmoides, D)Carassius carassius.

Write the answer after writing ""The answer is:"""
